grafo,best,conv,avg,worst,time,procs,conf
morady/TG4,34,100/100,34,34,0.068,4,0
morady/TG9,21,97/100,21.06,23,0.085,4,0
morady/TG10,83,99/100,83.05,88,0.091,4,0
morady/TG11,20,100/100,20,20,0.092,4,0
morady/TG12,27,34/100,29.8,33,0.094,4,0
morady/TG14,35,26/100,36.96,42,0.096,4,0
morady/TG17,37,47/100,37.56,39,0.113,4,0
morady/TG18,440,20/100,473.6,540,0.116,4,0
morady/TGG9,16,100/100,16,16,0.085,4,0
morady/TGG11,49,100/100,49,49,0.095,4,0
morady/TGGG11,12,100/100,12,12,0.093,4,0
gauss/GAUSS18,44,20/100,47.36,55,0.12,4,0
gauss/gauss27,67,1/100,74.68,84,0.157,4,0
gauss/gauss35,93,3/100,99.63,108,0.19,4,0
gauss/gauss44,118,2/100,126.72,140,0.244,4,0
gauss/gauss65,180,2/100,193.1,205,0.395,4,0
laplace/laplace9,520,100/100,520,520,0.081,4,0
laplace/laplace16,760,78/100,767.1,800,0.106,4,0
laplace/laplace25,1020,10/100,1053.9,1110,0.144,4,0
laplace/laplace36,1300,3/100,1363.9,1420,0.196,4,0
fft/fft15,560,84/100,563.2,580,0.103,4,0
fft/fft39,840,4/100,887.6,940,0.219,4,0
fft/fft95,1620,1/100,1696.2,1760,0.655,4,0
fft/fft223,3620,2/100,3749.4,3960,3.57,4,0
random/random30,751,13/100,789.53,841,0.288,4,0
random/random40,556,1/100,585.98,630,0.393,4,0
random/random50,496,4/100,526.28,572,0.459,4,0
morady/TG4,34,100/100,34,34,0.071,4,1
morady/TG9,21,91/100,21.18,23,0.081,4,1
morady/TG10,83,100/100,83,83,0.084,4,1
morady/TG11,20,96/100,20.04,21,0.087,4,1
morady/TG12,27,30/100,29.48,33,0.087,4,1
morady/TG14,35,17/100,37.05,41,0.089,4,1
morady/TG17,37,56/100,37.45,39,0.101,4,1
morady/TG18,440,3/100,483.9,560,0.098,4,1
morady/TGG9,16,100/100,16,16,0.084,4,1
morady/TGG11,49,100/100,49,49,0.092,4,1
morady/TGGG11,12,100/100,12,12,0.088,4,1
gauss/GAUSS18,44,7/100,47.87,55,0.1,4,1
gauss/gauss27,69,10/100,74.61,81,0.115,4,1
gauss/gauss35,93,1/100,99.18,107,0.139,4,1
gauss/gauss44,118,1/100,125.99,136,0.156,4,1
gauss/gauss65,175,1/100,190.93,212,0.187,4,1
laplace/laplace9,520,100/100,520,520,0.079,4,1
laplace/laplace16,760,91/100,762.5,800,0.09,4,1
laplace/laplace25,1000,3/100,1047.6,1100,0.109,4,1
laplace/laplace36,1300,5/100,1356.4,1410,0.145,4,1
fft/fft15,560,90/100,562,580,0.094,4,1
fft/fft39,840,3/100,881.2,940,0.139,4,1
fft/fft95,1640,1/100,1704,1800,0.23,4,1
fft/fft223,3580,3/100,3679.6,3820,0.468,4,1
random/random30,751,10/100,787.07,850,0.13,4,1
random/random40,561,1/100,592.74,669,0.155,4,1
random/random50,496,3/100,520.6,564,0.151,4,1
morady/TG4,34,100/100,34,34,0.079,4,2
