grafo,best,conv,avg,worst,time,procs,conf
morady/TG4,34,10,34,34,0.248,4,6
morady/TG9,21,10,21,21,0.298,4,6
morady/TG10,83,10,83,83,0.304,4,6
morady/TG11,20,10,20,20,0.32,4,6
morady/TG12,27,10,27,27,0.315,4,6
morady/TG14,35,10,35,35,0.336,4,6
morady/TG17,37,10,37,37,0.386,4,6
morady/TG18,440,10,440,440,0.372,4,6
morady/TGG9,16,10,16,16,0.299,4,6
morady/TGG11,49,10,49,49,0.33,4,6
morady/TGGG11,12,10,12,12,0.321,4,6
gauss/GAUSS18,44,10,44,44,0.373,4,6
gauss/gauss27,67,50,68,69,0.888,4,6
gauss/gauss35,91,37,92.35,95,1.068,4,6
gauss/gauss44,116,25,117.65,122,1.203,4,6
gauss/gauss65,173,14,176.39,182,1.838,4,6
laplace/laplace9,520,100,520,520,0.623,4,6
laplace/laplace16,760,100,760,760,0.749,4,6
laplace/laplace25,1000,75,1005.7,1040,0.93,4,6
laplace/laplace36,1260,3,1299.3,1340,1.431,4,6
fft/fft15,560,100,560,560,0.906,4,6
fft/fft39,820,18,842.8,880,1.418,4,6
fft/fft95,1600,11,1630.2,1680,2.2,4,6
fft/fft223,3520,4,3570.8,3620,4.363,4,6
random/random30,751,98,751.5,776,1.101,4,6
random/random40,550,5,559.98,580,1.385,4,6
random/random50,496,41,500.56,508,1.294,4,6
