,grafo,best,conv,avg,worst,time,procs,conf,deviation
0,morady/TG4,34,100,34.0,34,0.036000000000000004,4,0,0.0
1,morady/TG9,21,100,21.0,21,0.045,4,0,0.0
2,morady/TG10,83,100,83.0,83,0.046,4,0,0.0
3,morady/TG11,20,100,20.0,20,0.05,4,0,0.0
4,morady/TG12,27,44,29.28,33,0.05,4,0,0.08444444444444449
5,morady/TG14,35,32,36.68,41,0.053,4,0,0.047999999999999994
6,morady/TG17,37,63,37.38,39,0.065,4,0,0.010270270270270339
7,morady/TG18,440,24,470.5,530,0.064,4,0,0.06931818181818182
8,morady/TGG9,16,100,16.0,16,0.045,4,0,0.0
9,morady/TGG11,49,100,49.0,49,0.05,4,0,0.0
10,morady/TGGG11,12,100,12.0,12,0.05,4,0,0.0
11,gauss/GAUSS18,44,23,47.14,55,0.065,4,0,0.07136363636363638
12,gauss/gauss27,67,1,73.09,81,0.081,4,0,0.09089552238805976
13,gauss/gauss35,93,0,98.89,107,0.10300000000000001,4,0,0.08670329670329671
14,gauss/gauss44,118,0,127.14,137,0.133,4,0,0.0960344827586207
15,gauss/gauss65,179,0,192.62,213,0.22,4,0,0.11341040462427748
16,laplace/laplace9,520,100,520.0,520,0.044000000000000004,4,0,0.0
17,laplace/laplace16,760,69,768.3,800,0.057999999999999996,4,0,0.010921052631578887
18,laplace/laplace25,1000,2,1051.7,1110,0.078,4,0,0.051700000000000045
19,laplace/laplace36,1280,0,1366.4,1440,0.107,4,0,0.08444444444444452
20,fft/fft15,560,91,561.8,580,0.055999999999999994,4,0,0.003214285714285633
21,fft/fft39,840,0,891.0,940,0.11800000000000001,4,0,0.08658536585365853
22,fft/fft95,1640,0,1708.0,1800,0.371,4,0,0.0675
23,fft/fft223,3580,0,3759.6,4080,1.527,4,0,0.06806818181818179
24,random/random30,751,23,780.79,828,0.10400000000000001,4,0,0.03966711051930754
25,random/random40,557,0,585.74,621,0.135,4,0,0.0649818181818182
26,random/random50,500,0,529.64,580,0.151,4,0,0.06782258064516127
27,morady/TG4,34,100,34.0,34,0.026000000000000002,4,1,0.0
28,morady/TG9,21,99,21.02,23,0.031,4,1,0.0009523809523809321
29,morady/TG10,83,100,83.0,83,0.03,4,1,0.0
30,morady/TG11,20,100,20.0,20,0.037000000000000005,4,1,0.0
31,morady/TG12,27,60,28.41,33,0.038,4,1,0.052222222222222225
32,morady/TG14,35,32,36.55,38,0.04,4,1,0.044285714285714206
33,morady/TG17,37,65,37.36,39,0.042,4,1,0.009729729729729714
34,morady/TG18,440,18,467.8,490,0.039,4,1,0.06318181818181821
35,morady/TGG9,16,100,16.0,16,0.033,4,1,0.0
36,morady/TGG11,49,100,49.0,49,0.040999999999999995,4,1,0.0
37,morady/TGGG11,12,100,12.0,12,0.036000000000000004,4,1,0.0
38,gauss/GAUSS18,44,18,47.09,52,0.04,4,1,0.0702272727272728
39,gauss/gauss27,67,1,72.68,81,0.046,4,1,0.08477611940298517
40,gauss/gauss35,92,0,97.3,105,0.054000000000000006,4,1,0.06923076923076919
41,gauss/gauss44,118,0,124.54,133,0.069,4,1,0.07362068965517246
42,gauss/gauss65,177,0,188.93,202,0.08,4,1,0.09208092485549137
43,laplace/laplace9,520,100,520.0,520,0.03,4,1,0.0
44,laplace/laplace16,760,95,760.8,800,0.037000000000000005,4,1,0.0010526315789473085
45,laplace/laplace25,1000,2,1041.9,1100,0.040999999999999995,4,1,0.04190000000000009
46,laplace/laplace36,1300,0,1350.9,1410,0.053,4,1,0.07214285714285722
47,fft/fft15,560,91,561.8,580,0.037000000000000005,4,1,0.003214285714285633
48,fft/fft39,840,0,880.2,940,0.054000000000000006,4,1,0.07341463414634151
49,fft/fft95,1640,0,1707.2,1820,0.092,4,1,0.06700000000000003
50,fft/fft223,3600,0,3704.4,3860,0.185,4,1,0.05238636363636366
51,random/random30,751,26,778.45,900,0.05,4,1,0.03655126498002669
52,random/random40,552,0,590.27,632,0.059000000000000004,4,1,0.07321818181818178
53,random/random50,496,4,521.04,552,0.055,4,1,0.05048387096774186
54,morady/TG4,34,100,34.0,34,0.026000000000000002,4,2,0.0
55,morady/TG9,21,98,21.04,23,0.031,4,2,0.0019047619047618642
56,morady/TG10,83,100,83.0,83,0.032,4,2,0.0
57,morady/TG11,20,97,20.03,21,0.033,4,2,0.0015000000000000568
58,morady/TG12,27,63,28.5,33,0.032,4,2,0.05555555555555555
59,morady/TG14,35,26,36.75,40,0.034,4,2,0.05
60,morady/TG17,37,53,37.5,39,0.04,4,2,0.013513513513513514
61,morady/TG18,440,25,467.3,510,0.038,4,2,0.06204545454545457
62,morady/TGG9,16,100,16.0,16,0.03,4,2,0.0
63,morady/TGG11,49,100,49.0,49,0.033,4,2,0.0
64,morady/TGGG11,12,100,12.0,12,0.032,4,2,0.0
65,gauss/GAUSS18,44,34,46.65,51,0.038,4,2,0.06022727272727269
66,gauss/gauss27,67,3,73.48,81,0.046,4,2,0.09671641791044783
67,gauss/gauss35,92,0,98.77,107,0.054000000000000006,4,2,0.08538461538461534
68,gauss/gauss44,116,1,125.38,134,0.061,4,2,0.0808620689655172
69,gauss/gauss65,178,0,190.61,206,0.078,4,2,0.10179190751445094
70,laplace/laplace9,520,100,520.0,520,0.03,4,2,0.0
71,laplace/laplace16,760,84,764.7,800,0.036000000000000004,4,2,0.006184210526315849
72,laplace/laplace25,1020,0,1055.6,1110,0.045,4,2,0.055599999999999906
73,laplace/laplace36,1300,0,1365.3,1430,0.057,4,2,0.08357142857142853
74,fft/fft15,560,84,563.2,580,0.037000000000000005,4,2,0.005714285714285796
75,fft/fft39,840,0,889.6,980,0.057999999999999996,4,2,0.08487804878048784
76,fft/fft95,1620,0,1717.2,1860,0.096,4,2,0.07325000000000002
77,fft/fft223,3640,0,3757.0,4000,0.20600000000000002,4,2,0.06732954545454546
78,random/random30,751,16,790.82,872,0.055999999999999994,4,2,0.05302263648468715
79,random/random40,550,1,584.38,621,0.067,4,2,0.0625090909090909
80,random/random50,496,1,528.32,576,0.062,4,2,0.06516129032258075
81,morady/TG4,34,100,34.0,34,0.062,4,3,0.0
82,morady/TG9,21,100,21.0,21,0.073,4,3,0.0
83,morady/TG10,83,100,83.0,83,0.076,4,3,0.0
84,morady/TG11,20,100,20.0,20,0.075,4,3,0.0
85,morady/TG12,27,32,29.55,33,0.076,4,3,0.09444444444444447
86,morady/TG14,35,16,36.91,41,0.079,4,3,0.05457142857142847
87,morady/TG17,37,57,37.43,38,0.08800000000000001,4,3,0.011621621621621614
88,morady/TG18,440,1,486.8,550,0.085,4,3,0.1063636363636364
89,morady/TGG9,16,100,16.0,16,0.075,4,3,0.0
90,morady/TGG11,49,100,49.0,49,0.08199999999999999,4,3,0.0
91,morady/TGGG11,12,100,12.0,12,0.078,4,3,0.0
92,gauss/GAUSS18,44,6,48.74,55,0.08800000000000001,4,3,0.10772727272727277
93,gauss/gauss27,69,0,74.93,81,0.107,4,3,0.11835820895522398
94,gauss/gauss35,94,0,99.33,107,0.127,4,3,0.09153846153846151
95,gauss/gauss44,121,0,127.14,136,0.14300000000000002,4,3,0.0960344827586207
96,gauss/gauss65,181,0,191.96,202,0.185,4,3,0.1095953757225434
97,laplace/laplace9,520,100,520.0,520,0.078,4,3,0.0
98,laplace/laplace16,760,92,762.9,800,0.087,4,3,0.0038157894736841804
99,laplace/laplace25,1000,4,1051.6,1110,0.105,4,3,0.05159999999999991
100,laplace/laplace36,1300,0,1364.5,1400,0.131,4,3,0.08293650793650793
101,fft/fft15,560,99,560.2,580,0.086,4,3,0.00035714285714293835
102,fft/fft39,840,0,879.0,940,0.13699999999999998,4,3,0.07195121951219512
103,fft/fft95,1620,0,1661.0,1720,0.244,4,3,0.038125
104,fft/fft223,3540,0,3578.4,3620,0.49200000000000005,4,3,0.016590909090909118
105,random/random30,751,25,784.89,828,0.122,4,3,0.0451264980026631
106,random/random40,558,0,581.66,625,0.152,4,3,0.0575636363636363
107,random/random50,496,2,524.16,572,0.14800000000000002,4,3,0.05677419354838703
108,morady/TG4,34,100,34.0,34,0.03,4,4,0.0
109,morady/TG9,21,100,21.0,21,0.039,4,4,0.0
110,morady/TG10,83,100,83.0,83,0.04,4,4,0.0
111,morady/TG11,20,100,20.0,20,0.040999999999999995,4,4,0.0
112,morady/TG12,27,28,29.84,33,0.040999999999999995,4,4,0.10518518518518517
113,morady/TG14,35,14,36.97,39,0.044000000000000004,4,4,0.05628571428571425
114,morady/TG17,37,51,37.49,38,0.052000000000000005,4,4,0.013243243243243297
115,morady/TG18,440,3,483.7,530,0.052000000000000005,4,4,0.09931818181818179
116,morady/TGG9,16,100,16.0,16,0.038,4,4,0.0
117,morady/TGG11,49,100,49.0,49,0.042,4,4,0.0
118,morady/TGGG11,12,100,12.0,12,0.040999999999999995,4,4,0.0
119,gauss/GAUSS18,44,4,48.6,54,0.052000000000000005,4,4,0.10454545454545458
120,gauss/gauss27,69,0,74.73,80,0.077,4,4,0.11537313432835827
121,gauss/gauss35,94,0,99.91,104,0.08900000000000001,4,4,0.09791208791208787
122,gauss/gauss44,120,0,126.94,135,0.10400000000000001,4,4,0.09431034482758618
123,gauss/gauss65,178,0,192.28,202,0.139,4,4,0.11144508670520231
124,laplace/laplace9,520,100,520.0,520,0.037000000000000005,4,4,0.0
125,laplace/laplace16,760,82,765.1,800,0.049,4,4,0.0067105263157895036
126,laplace/laplace25,1000,1,1056.6,1110,0.067,4,4,0.05659999999999991
127,laplace/laplace36,1290,0,1366.2,1420,0.09,4,4,0.08428571428571432
128,fft/fft15,560,95,561.0,580,0.047,4,4,0.0017857142857142857
129,fft/fft39,840,0,874.4,940,0.09699999999999999,4,4,0.06634146341463412
130,fft/fft95,1620,0,1661.0,1700,0.196,4,4,0.038125
131,fft/fft223,3540,0,3580.6,3620,0.441,4,4,0.017215909090909066
132,random/random30,751,17,791.13,828,0.08800000000000001,4,4,0.05343541944074567
133,random/random40,556,0,585.42,641,0.106,4,4,0.06439999999999993
134,random/random50,496,4,522.24,564,0.109,4,4,0.05290322580645163
135,morady/TG4,34,100,34.0,34,0.027000000000000003,4,5,0.0
136,morady/TG9,21,95,21.1,23,0.032,4,5,0.00476190476190483
137,morady/TG10,83,99,83.05,88,0.033,4,5,0.0006024096385541827
138,morady/TG11,20,98,20.02,21,0.035,4,5,0.0009999999999999788
139,morady/TG12,27,34,29.9,33,0.035,4,5,0.10740740740740735
140,morady/TG14,35,27,36.93,42,0.037000000000000005,4,5,0.05514285714285713
141,morady/TG17,37,58,37.43,39,0.040999999999999995,4,5,0.011621621621621614
142,morady/TG18,440,22,476.1,550,0.042,4,5,0.0820454545454546
143,morady/TGG9,16,100,16.0,16,0.032,4,5,0.0
144,morady/TGG11,49,100,49.0,49,0.035,4,5,0.0
145,morady/TGGG11,12,100,12.0,12,0.034,4,5,0.0
146,gauss/GAUSS18,44,21,47.24,54,0.039,4,5,0.07363636363636368
147,gauss/gauss27,69,0,74.36,83,0.048,4,5,0.10985074626865671
148,gauss/gauss35,93,0,98.82,112,0.059000000000000004,4,5,0.08593406593406586
149,gauss/gauss44,120,0,126.46,138,0.064,4,5,0.0901724137931034
150,gauss/gauss65,178,0,192.34,208,0.08,4,5,0.11179190751445088
151,laplace/laplace9,520,100,520.0,520,0.032,4,5,0.0
152,laplace/laplace16,760,79,765.7,800,0.038,4,5,0.00750000000000006
153,laplace/laplace25,1020,0,1057.5,1120,0.046,4,5,0.0575
154,laplace/laplace36,1300,0,1365.8,1430,0.057999999999999996,4,5,0.08396825396825393
155,fft/fft15,560,80,564.0,580,0.038,4,5,0.007142857142857143
156,fft/fft39,860,0,893.0,940,0.06,4,5,0.08902439024390243
157,fft/fft95,1640,0,1712.6,1860,0.10400000000000001,4,5,0.07037499999999994
158,fft/fft223,3580,0,3720.2,3900,0.21100000000000002,4,5,0.056874999999999946
159,random/random30,751,8,794.0,900,0.055999999999999994,4,5,0.05725699067909454
160,random/random40,559,0,591.1,650,0.068,4,5,0.07472727272727277
161,random/random50,496,1,528.64,576,0.064,4,5,0.0658064516129032
162,morady/TG4,34,100,34.0,34,0.028999999999999998,4,6,0.0
163,morady/TG9,21,100,21.0,21,0.034,4,6,0.0
164,morady/TG10,83,100,83.0,83,0.034,4,6,0.0
165,morady/TG11,20,100,20.0,20,0.036000000000000004,4,6,0.0
166,morady/TG12,27,83,27.68,31,0.035,4,6,0.025185185185185175
167,morady/TG14,35,34,36.48,40,0.038,4,6,0.0422857142857142
168,morady/TG17,37,72,37.28,38,0.043,4,6,0.007567567567567599
169,morady/TG18,440,38,463.8,490,0.042,4,6,0.05409090909090912
170,morady/TGG9,16,100,16.0,16,0.034,4,6,0.0
171,morady/TGG11,49,100,49.0,49,0.038,4,6,0.0
172,morady/TGGG11,12,100,12.0,12,0.036000000000000004,4,6,0.0
173,gauss/GAUSS18,44,31,46.49,49,0.042,4,6,0.056590909090909136
174,gauss/gauss27,67,4,71.22,78,0.051,4,6,0.06298507462686566
175,gauss/gauss35,91,1,96.49,103,0.063,4,6,0.06032967032967027
176,gauss/gauss44,118,0,123.92,130,0.07200000000000001,4,6,0.06827586206896553
177,gauss/gauss65,175,0,185.75,198,0.08900000000000001,4,6,0.07369942196531792
178,laplace/laplace9,520,100,520.0,520,0.034,4,6,0.0
