grafo,best,conv,avg,worst,time,procs,conf
morady/TG4,34,100,34,34,0.036,4,0
morady/TG9,21,100,21,21,0.045,4,0
morady/TG10,83,100,83,83,0.046,4,0
morady/TG11,20,100,20,20,0.05,4,0
morady/TG12,27,44,29.28,33,0.05,4,0
morady/TG14,35,32,36.68,41,0.053,4,0
morady/TG17,37,63,37.38,39,0.065,4,0
morady/TG18,440,24,470.5,530,0.064,4,0
morady/TGG9,16,100,16,16,0.045,4,0
morady/TGG11,49,100,49,49,0.05,4,0
morady/TGGG11,12,100,12,12,0.05,4,0
gauss/GAUSS18,44,23,47.14,55,0.065,4,0
gauss/gauss27,67,1,73.09,81,0.081,4,0
gauss/gauss35,93,5,98.89,107,0.103,4,0
gauss/gauss44,118,1,127.14,137,0.133,4,0
gauss/gauss65,179,2,192.62,213,0.22,4,0
laplace/laplace9,520,100,520,520,0.044,4,0
laplace/laplace16,760,69,768.3,800,0.058,4,0
laplace/laplace25,1000,2,1051.7,1110,0.078,4,0
laplace/laplace36,1280,1,1366.4,1440,0.107,4,0
fft/fft15,560,91,561.8,580,0.056,4,0
fft/fft39,840,1,891,940,0.118,4,0
fft/fft95,1640,3,1708,1800,0.371,4,0
fft/fft223,3580,1,3759.6,4080,1.527,4,0
random/random30,751,23,780.79,828,0.104,4,0
random/random40,557,1,585.74,621,0.135,4,0
random/random50,500,3,529.64,580,0.151,4,0
morady/TG4,34,100,34,34,0.026,4,1
morady/TG9,21,99,21.02,23,0.031,4,1
morady/TG10,83,100,83,83,0.03,4,1
morady/TG11,20,100,20,20,0.037,4,1
morady/TG12,27,60,28.41,33,0.038,4,1
morady/TG14,35,32,36.55,38,0.04,4,1
morady/TG17,37,65,37.36,39,0.042,4,1
morady/TG18,440,18,467.8,490,0.039,4,1
morady/TGG9,16,100,16,16,0.033,4,1
morady/TGG11,49,100,49,49,0.041,4,1
morady/TGGG11,12,100,12,12,0.036,4,1
gauss/GAUSS18,44,18,47.09,52,0.04,4,1
gauss/gauss27,67,1,72.68,81,0.046,4,1
gauss/gauss35,92,2,97.3,105,0.054,4,1
gauss/gauss44,118,2,124.54,133,0.069,4,1
gauss/gauss65,177,1,188.93,202,0.08,4,1
laplace/laplace9,520,100,520,520,0.03,4,1
laplace/laplace16,760,95,760.8,800,0.037,4,1
laplace/laplace25,1000,2,1041.9,1100,0.041,4,1
laplace/laplace36,1300,2,1350.9,1410,0.053,4,1
fft/fft15,560,91,561.8,580,0.037,4,1
fft/fft39,840,5,880.2,940,0.054,4,1
fft/fft95,1640,4,1707.2,1820,0.092,4,1
